"","BAIRRO","NM_VOTAVEL","votos_bairro","votos_cand","freq_cand"
"93","BELÉM VELHO","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",4683,162,3.45932094811019
"94","BELÉM VELHO","JULIANA BRIZOLA",4683,264,5.63741191543882
"95","BELÉM VELHO","JULIO CESAR LEIRIAS FLORES",4683,4,0.0854153320521033
"96","BELÉM VELHO","LUIZ DELVAIR MARTINS BARROS",4683,1,0.0213538330130258
"97","BELÉM VELHO","MANUELA PINTO VIEIRA D AVILA",4683,1296,27.6745675848815
"98","BELÉM VELHO","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",4683,4,0.0854153320521033
"99","BELÉM VELHO","NELSON MARCHEZAN JÚNIOR",4683,1001,21.3751868460389
"100","BELÉM VELHO","RODRIGO MARINI MARONI",4683,29,0.619261157377749
"101","BELÉM VELHO","SEBASTIÃO DE ARAÚJO MELO",4683,1494,31.9026265214606
"102","BELÉM VELHO","VALTER LUIS DA COSTA NAGELSTEIN",4683,117,2.49839846252402
"103","BOA VISTA","FERNANDA MELCHIONNA E SILVA",1757,66,3.75640295959021
"104","BOA VISTA","GUSTAVO BOHRER PAIM",1757,21,1.19521912350598
"105","BOA VISTA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",1757,24,1.36596471257826
"106","BOA VISTA","JULIANA BRIZOLA",1757,98,5.57768924302789
"107","BOA VISTA","JULIO CESAR LEIRIAS FLORES",1757,2,0.113830392714855
"108","BOA VISTA","MANUELA PINTO VIEIRA D AVILA",1757,381,21.6846898121799
"109","BOA VISTA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",1757,3,0.170745589072282
"110","BOA VISTA","NELSON MARCHEZAN JÚNIOR",1757,427,24.3027888446215
"111","BOA VISTA","RODRIGO MARINI MARONI",1757,4,0.22766078542971
"112","BOA VISTA","SEBASTIÃO DE ARAÚJO MELO",1757,635,36.1411496869664
"113","BOA VISTA","VALTER LUIS DA COSTA NAGELSTEIN",1757,96,5.46385885031303
"114","BOA VISTA DO SUL","FERNANDA MELCHIONNA E SILVA",542,19,3.50553505535055
"115","BOA VISTA DO SUL","GUSTAVO BOHRER PAIM",542,9,1.66051660516605
"116","BOA VISTA DO SUL","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",542,16,2.9520295202952
"117","BOA VISTA DO SUL","JULIANA BRIZOLA",542,34,6.27306273062731
"118","BOA VISTA DO SUL","MANUELA PINTO VIEIRA D AVILA",542,113,20.8487084870849
"119","BOA VISTA DO SUL","NELSON MARCHEZAN JÚNIOR",542,157,28.9667896678967
"120","BOA VISTA DO SUL","SEBASTIÃO DE ARAÚJO MELO",542,186,34.3173431734317
"121","BOA VISTA DO SUL","VALTER LUIS DA COSTA NAGELSTEIN",542,8,1.4760147601476
"122","BOM FIM","FERNANDA MELCHIONNA E SILVA",4790,296,6.17954070981211
"123","BOM FIM","GUSTAVO BOHRER PAIM",4790,50,1.04384133611691
"124","BOM FIM","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",4790,41,0.855949895615866
"125","BOM FIM","JULIANA BRIZOLA",4790,221,4.61377870563674
"126","BOM FIM","JULIO CESAR LEIRIAS FLORES",4790,4,0.0835073068893528
"127","BOM FIM","LUIZ DELVAIR MARTINS BARROS",4790,1,0.0208768267223382
"128","BOM FIM","MANUELA PINTO VIEIRA D AVILA",4790,1844,38.4968684759916
"129","BOM FIM","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",4790,12,0.250521920668058
"130","BOM FIM","NELSON MARCHEZAN JÚNIOR",4790,860,17.9540709812109
"131","BOM FIM","RODRIGO MARINI MARONI",4790,16,0.334029227557411
"132","BOM FIM","SEBASTIÃO DE ARAÚJO MELO",4790,1230,25.678496868476
"133","BOM FIM","VALTER LUIS DA COSTA NAGELSTEIN",4790,215,4.48851774530271
"134","BOM JESUS","FERNANDA MELCHIONNA E SILVA",7438,278,3.73756386125303
"135","BOM JESUS","GUSTAVO BOHRER PAIM",7438,100,1.3444474321054
"136","BOM JESUS","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",7438,342,4.59801021780048
"137","BOM JESUS","JULIANA BRIZOLA",7438,646,8.68513041140091
"138","BOM JESUS","JULIO CESAR LEIRIAS FLORES",7438,21,0.282333960742135
"139","BOM JESUS","MANUELA PINTO VIEIRA D AVILA",7438,2685,36.0984135520301
"140","BOM JESUS","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",7438,9,0.121000268889486
"141","BOM JESUS","NELSON MARCHEZAN JÚNIOR",7438,1242,16.6980371067491
"142","BOM JESUS","RODRIGO MARINI MARONI",7438,45,0.605001344447432
